Date,Price,Open,High,Low,Change,Month,Year,Change1,
Aug-21,2134.25,2052.15,2154.30,2041.25,4.80%,8,2021,1.00,
Jul-21,2035.30,2118.00,2153.55,2016.25,-3.57%,7,2021,0.00,
Jun-21,2110.65,2166.00,2274.90,2081.00,-2.30%,6,2021,0.00,
May-21,2160.30,1966.00,2191.70,1906.00,8.31%,5,2021,1.00,
Apr-21,1994.50,2018.00,2046.90,1876.70,-0.43%,4,2021,0.00,
Mar-21,2003.10,2110.20,2231.90,1973.70,-3.96%,3,2021,0.00,
Feb-21,2085.80,1859.40,2152.00,1848.00,13.24%,2,2021,1.00,
Jan-21,1841.95,1988.00,2120.00,1830.00,-7.22%,1,2021,0.00,
Dec-20,1985.30,1940.35,2038.00,1855.25,2.88%,12,2020,1.00,
Nov-20,1929.80,2027.00,2095.00,1835.10,-6.07%,11,2020,0.00,
Oct-20,2054.50,2263.80,2309.00,1991.00,-8.05%,10,2020,0.00,
Sep-20,2234.35,2100.00,2369.35,2044.25,7.38%,9,2020,1.00,
Aug-20,2080.70,2051.30,2196.00,2000.25,0.66%,8,2020,1.00,
Jul-20,2067.10,1720.00,2198.80,1708.05,21.30%,7,2020,1.00,
Jun-20,1704.10,1480.00,1804.20,1475.95,16.37%,6,2020,1.00,
May-20,1464.40,1426.48,1599.83,1393.00,0.84%,5,2020,1.00,
Apr-20,1452.23,1111.71,1480.91,1035.39,31.63%,4,2020,1.00,
Mar-20,1103.29,1342.38,1356.15,867.43,-16.17%,3,2020,0.00,
Feb-20,1316.17,1392.10,1493.84,1312.56,-5.88%,2,2020,0.00,
Jan-20,1398.40,1503.75,1593.89,1393.99,-6.76%,1,2020,0.00,
Dec-19,1499.83,1584.98,1602.36,1493.89,-2.39%,12,2019,0.00,
Nov-19,1536.58,1441.34,1569.28,1409.19,5.93%,11,2019,1.00,
Oct-19,1450.60,1324.45,1475.66,1269.27,9.92%,10,2019,1.00,
Sep-19,1319.74,1230.58,1323.21,1161.64,6.70%,9,2019,1.00,
