,productdescriptions,descriptions,ASINS,manufacturers,names,prices,reviews,links
0,"
  Is Discontinued By Manufacturer
                                    ‏
                                        :
                                    ‎
                                 No   Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 83.82 x 44.45 x 119.38 cm; 500 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 3 March 2017   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd   ASIN
                                    ‏
                                        :
                                    ‎
                                 B01LXNNFDF   Item model number
                                    ‏
                                        :
                                    ‎
                                 Havana   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-adult   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901   Packer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Contact no +919769487901   Importer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Contact no +919769487901   Item Weight
                                    ‏
                                        :
                                    ‎
                                 500 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 83.8 x 44.4 x 119.4 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Laptop Backpack   ","Name =         URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black       , Price=998.",‏ ‎ B01LXNNFDF,"‏ ‎ Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901","        URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black       ",998.,684,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzU4MDI3ODM4MjQ1MDk2OjE2NzUzMjA1OTE6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675320591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1s
1,"
  Is Discontinued By Manufacturer
                                    ‏
                                        :
                                    ‎
                                 No   Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 83.82 x 44.45 x 119.38 cm; 500 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 3 March 2017   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd   ASIN
                                    ‏
                                        :
                                    ‎
                                 B01LXNNFDF   Item model number
                                    ‏
                                        :
                                    ‎
                                 Havana   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901   Packer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Contact no +919769487901   Importer
                                    ‏
                                        :
                                    ‎
                                 Backpack International Pvt Ltd, Contact no +919769487901   Item Weight
                                    ‏
                                        :
                                    ‎
                                 500 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 83.8 x 44.4 x 119.4 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Laptop Backpack   ","Name =         URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black       , Price=998.",‏ ‎ B01LXNNFDF,"‏ ‎ Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901","        URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black       ",998.,684,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzU4MDI3ODM4MjQ1MDk2OjE2NzUzMjA1OTE6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675320591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1s
2,Not Found,"Name =         Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design       , Price=1,209.",Not Found,Not Found,"        Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design       ","1,209.",1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzU4MDI3ODM4MjQ1MDk2OjE2NzUzMjA1OTE6c3BfYXRmOjIwMTE1NDYwNjg3MDk4OjowOjo&url=%2FAmazon-Basics-Modern-Lightweight-Backpack%2Fdp%2FB09W4ZPP3D%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675320591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1s
3,Not Found,"Name =         American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)       , Price=1,299.",Not Found,Not Found,        American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)       ,"1,299.","51,353",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-3s
4,Not Found,"Name =         Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)       , Price=565.",Not Found,Not Found,        Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)       ,565.,"9,221",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-4s
5,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 10.01 x 19.99 x 11.99 cm; 390 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 15 March 2021   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 VIP Industries Ltd   ASIN
                                    ‏
                                        :
                                    ‎
                                 B08Z1HHHTD   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 VIP Industries Ltd   Item Weight
                                    ‏
                                        :
                                    ‎
                                 390 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 10 x 20 x 12 Centimeters   ","Name =         Skybags Brat Black 46 Cms Casual Backpack       , Price=669.",‏ ‎ B08Z1HHHTD,‏ ‎ VIP Industries Ltd,        Skybags Brat Black 46 Cms Casual Backpack       ,669.,"3,364",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-5s
6,Not Found,"Name =         Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste       , Price=225.",Not Found,Not Found,"        Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste       ",225.,"2,658",https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028%3Aamzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=1lkm7&pd_rd_wg=RGJgB&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81s
7,Not Found,"Name =         Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste       , Price=225.",Not Found,Not Found,"        Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste       ",225.,"2,658",https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028%3Aamzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=1lkm7&pd_rd_wg=RGJgB&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81s
8,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 32 x 20 x 47 cm; 530 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 1 March 2022   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA   ASIN
                                    ‏
                                        :
                                    ‎
                                 B09TPX22NF   Item model number
                                    ‏
                                        :
                                    ‎
                                 BP041   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Men   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Packer
                                    ‏
                                        :
                                    ‎
                                 ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Item Weight
                                    ‏
                                        :
                                    ‎
                                 530 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 32 x 20 x 47 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count   Included Components
                                    ‏
                                        :
                                    ‎
                                 Laptop backpack only   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Laptop backpack   ","Name =         ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)       , Price=499.",‏ ‎ B09TPX22NF,"‏ ‎ ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",        ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)       ,499.,461,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-6s
9,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 29.01 x 46 x 19 cm; 580 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 11 April 2019   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AirCase   ASIN
                                    ‏
                                        :
                                    ‎
                                 B07QN4KXWG   Item model number
                                    ‏
                                        :
                                    ‎
                                 C34-P   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-adult   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302   Packer
                                    ‏
                                        :
                                    ‎
                                 Istuff365, Godown No.H-3, Dharam Complex, Thane-421302   Item Weight
                                    ‏
                                        :
                                    ‎
                                 580 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 29 x 46 x 19 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1 Unit   Included Components
                                    ‏
                                        :
                                    ‎
                                 1 Laptop Backpack   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Laptop Backpack   ","Name =         AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather       , Price=999.",‏ ‎ B07QN4KXWG,"‏ ‎ AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302","        AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather       ",999.,709,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-7s
